tiles:['hills', 'forest', 'desert', 'forest', 'mountains', 'pasture', 'mountains', 'fields', 'pasture', 'fields', 'hills', 'fields', 'forest', 'hills', 'forest', 'mountains', 'pasture', 'fields', 'pasture']
tokens:['3', '6', '7', '8', '9', '11', '5', '9', '11', '3', '10', '4', '2', '10', '12', '8', '6', '4', '5']
tiles:['hills', 'fields', 'desert', 'forest', 'mountains', 'pasture', 'mountains', 'fields', 'pasture', 'fields', 'hills', 'forest', 'forest', 'hills', 'forest', 'mountains', 'pasture', 'fields', 'pasture']
tokens:['3', '6', '7', '8', '9', '11', '5', '9', '11', '3', '10', '4', '2', '10', '12', '8', '6', '4', '5']
tiles:['hills', 'forest', 'desert', 'fields', 'mountains', 'pasture', 'mountains', 'forest', 'pasture', 'forest', 'hills', 'fields', 'fields', 'hills', 'fields', 'mountains', 'pasture', 'forest', 'pasture']
tokens:['3', '6', '7', '8', '9', '11', '5', '9', '11', '3', '10', '4', '2', '10', '12', '8', '6', '4', '5']
tiles:['hills', 'fields', 'desert', 'fields', 'mountains', 'pasture', 'mountains', 'forest', 'pasture', 'forest', 'hills', 'forest', 'fields', 'hills', 'fields', 'mountains', 'pasture', 'forest', 'pasture']
tokens:['3', '6', '7', '8', '9', '11', '5', '9', '11', '3', '10', '4', '2', '10', '12', '8', '6', '4', '5']
tiles:['forest', 'hills', 'mountains', 'mountains', 'pasture', 'fields', 'pasture', 'fields', 'forest', 'hills', 'forest', 'mountains', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'desert', 'forest']
tokens:['8', '6', '4', '10', '12', '2', '11', '5', '9', '11', '9', '3', '4', '10', '3', '8', '6', '7', '5']
tiles:['hills', 'forest', 'mountains', 'mountains', 'pasture', 'fields', 'pasture', 'fields', 'forest', 'hills', 'forest', 'mountains', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'desert', 'forest']
tokens:['8', '6', '4', '10', '12', '2', '11', '5', '9', '11', '9', '3', '4', '10', '3', '8', '6', '7', '5']
tiles:['forest', 'mountains', 'forest', 'mountains', 'pasture', 'fields', 'pasture', 'fields', 'forest', 'hills', 'forest', 'mountains', 'hills', 'pasture', 'fields', 'pasture', 'fields', 'desert', 'hills']
tokens:['8', '6', '4', '10', '12', '2', '11', '5', '9', '11', '9', '3', '4', '10', '3', '8', '6', '7', '5']
tiles:['hills', 'pasture', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'hills', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '9']
tiles:['hills', 'pasture', 'hills', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'mountains', 'pasture', 'mountains', 'desert', 'fields', 'forest', 'fields', 'forest']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '9']
tiles:['hills', 'pasture', 'mountains', 'pasture', 'mountains', 'fields', 'forest', 'fields', 'forest', 'hills', 'pasture', 'hills', 'pasture', 'mountains', 'desert', 'forest', 'fields', 'forest', 'fields']
tokens:['10', '8', '5', '12', '4', '3', '11', '5', '9', '11', '2', '6', '4', '3', '7', '8', '6', '10', '9']
