GameID,TurnCount,Epsilon,AverageLoss,end_points,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
0,294,1.0,0,8,0,5,15,False,False,3,"{'WOOD': 0.4444444444444444, 'BRICK': 0.5833333333333333, 'SHEEP': 0.08333333333333333, 'WHEAT': 0, 'ORE': 0.1388888888888889}",1.2499999999999998,192,50,14,14,10,67,58,"{'KNIGHT': 1, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,4
1,464,0.9946999999999947,0.0023462002271322866,5,0,3,14,True,False,0,"{'WOOD': 0.19444444444444442, 'BRICK': 0.08333333333333333, 'SHEEP': 0.16666666666666666, 'WHEAT': 0, 'ORE': 0.05555555555555555}",0.5,151,39,12,15,9,47,35,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,5
2,442,0.9883999999999884,0.002049906540011603,5,0,3,15,False,False,2,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.3888888888888889,118,47,19,22,9,8,4,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",5,7
3,900,0.9767999999999768,0.0027032591367907146,5,1,1,12,False,True,0,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.3055555555555556, 'WHEAT': 0.08333333333333333, 'ORE': 0}",0.3888888888888889,286,40,31,35,23,56,34,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",5,5
4,371,0.9706799999999707,0.003258715632137252,10,2,1,15,True,True,1,"{'WOOD': 0, 'BRICK': 0.2777777777777778, 'SHEEP': 0, 'WHEAT': 0.3333333333333333, 'ORE': 0.16666666666666666}",0.7777777777777778,249,63,14,21,13,54,36,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 7, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",8,9
5,242,0.9668199999999668,0.003945201054490485,5,0,4,15,False,False,1,"{'WOOD': 0.1388888888888889, 'BRICK': 0.16666666666666666, 'SHEEP': 0.2222222222222222, 'WHEAT': 0.027777777777777776, 'ORE': 0}",0.5555555555555556,139,40,11,12,7,14,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,2
6,349,0.961979999999962,0.004067172018776471,2,0,2,14,False,False,0,"{'WOOD': 0.25, 'BRICK': 0.027777777777777776, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0}",0.3888888888888889,137,39,14,17,7,22,16,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",5,5
0,229,1.0,0,5,0,3,15,True,False,0,"{'WOOD': 0.19444444444444445, 'BRICK': 0.3888888888888889, 'SHEEP': 0.3055555555555555, 'WHEAT': 0, 'ORE': 0}",0.8888888888888888,151,36,10,12,8,35,24,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
1,364,0.9999175000000068,0.004082548689621035,4,0,4,13,False,False,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0.027777777777777776}",0.2777777777777778,86,39,15,18,11,6,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
2,180,0.9998450000000128,0.0033198863137433115,4,2,0,10,False,False,0,"{'WOOD': 0.2777777777777778, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.2222222222222222, 'ORE': 0.5}",1.0,160,32,6,8,7,46,36,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,2
0,389,0.9999785000000018,0.005141363142810892,10,0,5,15,False,True,3,"{'WOOD': 0.1111111111111111, 'BRICK': 0.08333333333333333, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.1388888888888889, 'ORE': 0.1388888888888889}",0.75,170,62,15,19,13,35,24,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 4, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,8
0,206,1.0,0,10,0,3,13,True,True,3,"{'WOOD': 0.05555555555555555, 'BRICK': 0.1111111111111111, 'SHEEP': 0.3055555555555555, 'WHEAT': 0, 'ORE': 0}",0.4722222222222222,127,51,13,18,11,23,16,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 2, 'YEAR_OF_PLENTY': 0}",8,11
1,245,0.9999620000000031,0.004798992314087962,2,0,2,8,False,False,0,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.16666666666666666,42,15,11,12,3,1,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
2,355,0.9998235000000145,0.002626789421715609,9,1,2,15,True,True,1,"{'WOOD': 0, 'BRICK': 0.16666666666666666, 'SHEEP': 0.3333333333333333, 'WHEAT': 0.027777777777777776, 'ORE': 0.5277777777777778}",1.0555555555555556,220,57,17,22,15,50,36,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",7,8
3,472,0.9996790000000264,0.00329545327074742,4,0,3,10,False,False,1,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.3055555555555556,116,22,20,20,13,55,36,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,2
4,630,0.9994475000000455,0.003386587717987247,10,2,3,15,True,False,1,"{'WOOD': 0, 'BRICK': 0.6666666666666667, 'SHEEP': 0.16666666666666666, 'WHEAT': 0.2777777777777778, 'ORE': 0.3055555555555555}",1.4166666666666667,363,56,23,25,10,96,65,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,4
0,282,1.0,0,10,0,4,15,True,True,2,"{'WOOD': 0.3055555555555556, 'BRICK': 0.1388888888888889, 'SHEEP': 0.19444444444444445, 'WHEAT': 0.2222222222222222, 'ORE': 0.1388888888888889}",1.0,175,67,9,14,12,35,24,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 2}",8,11
1,310,0.9998850000000095,0.002401065042763746,10,3,1,15,False,True,1,"{'WOOD': 0.25, 'BRICK': 0.08333333333333333, 'SHEEP': 0.3888888888888889, 'WHEAT': 0.1111111111111111, 'ORE': 0.5}",1.3333333333333333,220,78,14,21,14,60,42,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 7, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",10,11
2,344,0.9997780000000183,0.001918900186287361,2,0,2,7,False,False,0,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.16666666666666666,76,19,11,14,11,13,8,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
3,719,0.9994695000000436,0.003818780513839929,7,0,5,15,True,False,0,"{'WOOD': 0.2222222222222222, 'BRICK': 0.4166666666666667, 'SHEEP': 0.16666666666666666, 'WHEAT': 0.3333333333333333, 'ORE': 0.027777777777777776}",1.1666666666666665,531,41,29,30,10,150,117,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
