GameID,TurnCount,Players,Epsilon,AverageLoss,end_points,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
0,487,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:RED]",1.0,0,10,2,3,15,True,False,1,"{'WOOD': 0.2777777777777778, 'BRICK': 0.4166666666666667, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.1388888888888889, 'ORE': 0.3055555555555556}",1.25,325,72,16,21,10,87,66,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 5, 'MONOPOLY': 2, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",7,8
1,408,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",1.0,0,5,0,2,6,False,True,1,"{'WOOD': 0.16666666666666669, 'BRICK': 0.1111111111111111, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.16666666666666666, 'ORE': 0}",0.5555555555555556,200,32,17,22,17,70,53,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",7,8
2,185,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",1.0,0,2,0,2,6,False,False,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.08333333333333333, 'WHEAT': 0, 'ORE': 0}",0.19444444444444442,36,14,9,10,8,6,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",2,2
3,484,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE]",1.0,0,5,0,5,15,False,False,0,"{'WOOD': 0.2777777777777778, 'BRICK': 0.16666666666666666, 'SHEEP': 0.25, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.8055555555555556,267,56,18,23,12,43,26,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 5, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",6,6
4,247,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE]",1.0,0,10,1,4,15,True,True,0,"{'WOOD': 0.2777777777777778, 'BRICK': 0.1111111111111111, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.1388888888888889, 'ORE': 0.4444444444444444}",1.25,156,58,8,12,7,34,28,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,5
5,232,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",1.0,0,2,0,2,4,False,False,0,"{'WOOD': 0.027777777777777776, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.027777777777777776,42,7,4,4,3,11,4,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
6,299,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",1.0,0,6,1,1,9,False,True,1,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.08333333333333333, 'ORE': 0.2222222222222222}",0.6666666666666666,170,52,17,25,13,32,21,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 8, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",10,11
7,337,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",1.0,0,7,2,0,9,False,False,3,"{'WOOD': 0.2222222222222222, 'BRICK': 0.33333333333333337, 'SHEEP': 0, 'WHEAT': 0.1111111111111111, 'ORE': 0.4444444444444444}",1.1111111111111112,182,36,12,13,12,49,40,"{'KNIGHT': 0, 'VP': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,4
8,267,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,2,0,2,7,False,False,0,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.1388888888888889, 'ORE': 0}",0.25,71,13,10,11,6,11,4,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,1
9,233,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE]",1.0,0,5,0,2,6,False,True,1,"{'WOOD': 0, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1388888888888889, 'WHEAT': 0, 'ORE': 0.08333333333333333}",0.3055555555555555,78,23,5,9,7,16,5,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,5
