GameID,TurnCount,Players,Epsilon,AverageLoss,end_points,cities,settlements,road,longest,largest,devvps,resource_production,total_resource_production,total_resources_gained,amount_of_resources_used,seven_robbers_moved,knights_and_robbers_moved,total_robber_gain,total_resources_lost,total_resources_discarded,dev_cards_held,dev_cards_held_total,dev_cards_used,dev_cards_used_total,dev_cards_bought_total
0,244,"[RandomPlayer:RED, RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE]",1.0,0,7,0,4,13,False,True,1,"{'WOOD': 0.3055555555555555, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.5, 'ORE': 0.05555555555555555}",1.0,138,51,7,12,10,8,0,"{'KNIGHT': 1, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,7
1,312,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED]",1.0,0,3,0,2,13,False,False,1,"{'WOOD': 0.2222222222222222, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0, 'ORE': 0}",0.2222222222222222,87,31,18,20,14,11,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,3
2,296,"[RandomPlayer:WHITE, RandomPlayer:RED, Player:BLUE, RandomPlayer:ORANGE]",1.0,0,10,1,2,15,True,True,2,"{'WOOD': 0.3055555555555556, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.1388888888888889, 'ORE': 0.1111111111111111}",0.6666666666666667,274,81,14,24,12,78,71,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 10, 'MONOPOLY': 2, 'ROAD_BUILDING': 2, 'YEAR_OF_PLENTY': 2}",16,18
3,695,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",1.0,0,7,0,5,15,False,True,0,"{'WOOD': 0.3333333333333333, 'BRICK': 0.3055555555555556, 'SHEEP': 0.16666666666666669, 'WHEAT': 0.1111111111111111, 'ORE': 0.05555555555555555}",0.9722222222222223,504,71,30,38,30,131,100,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 8, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",10,11
4,377,"[RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE]",1.0,0,4,0,3,14,False,False,1,"{'WOOD': 0, 'BRICK': 0.1111111111111111, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.08333333333333333, 'ORE': 0.05555555555555555}",0.36111111111111105,122,40,12,13,10,16,8,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 1, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",3,4
5,323,"[RandomPlayer:WHITE, RandomPlayer:RED, RandomPlayer:ORANGE, Player:BLUE]",1.0,0,6,1,1,10,False,True,1,"{'WOOD': 0, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.16666666666666666, 'ORE': 0.1111111111111111}",0.3888888888888889,118,47,13,19,17,15,8,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 6, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",9,10
6,316,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",1.0,0,2,0,2,6,False,False,0,"{'WOOD': 0.1388888888888889, 'BRICK': 0, 'SHEEP': 0.08333333333333333, 'WHEAT': 0, 'ORE': 0.08333333333333333}",0.3055555555555555,90,17,13,16,8,38,29,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
7,307,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,3,0,2,7,False,False,1,"{'WOOD': 0.08333333333333333, 'BRICK': 0, 'SHEEP': 0.1111111111111111, 'WHEAT': 0.1111111111111111, 'ORE': 0}",0.3055555555555555,108,22,11,11,7,34,24,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 2}",3,4
8,258,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,10,0,4,15,False,True,4,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.5, 'ORE': 0.08333333333333333}",0.8333333333333334,153,65,14,19,13,19,13,"{'KNIGHT': 0, 'VP': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",4,"{'KNIGHT': 5, 'MONOPOLY': 2, 'ROAD_BUILDING': 2, 'YEAR_OF_PLENTY': 0}",9,13
9,463,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",1.0,0,9,0,5,15,False,True,2,"{'WOOD': 0.2222222222222222, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1111111111111111, 'WHEAT': 0, 'ORE': 0.1388888888888889}",0.5555555555555556,179,59,18,23,15,33,12,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,7
10,415,"[RandomPlayer:ORANGE, RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED]",1.0,0,8,2,0,15,True,False,2,"{'WOOD': 0.1111111111111111, 'BRICK': 0, 'SHEEP': 0, 'WHEAT': 0.33333333333333337, 'ORE': 0.3333333333333333}",0.7777777777777778,311,56,14,18,15,96,84,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 4, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 1}",6,8
11,251,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,10,2,3,15,True,False,1,"{'WOOD': 0.3055555555555556, 'BRICK': 0.2222222222222222, 'SHEEP': 0, 'WHEAT': 0.08333333333333333, 'ORE': 0.1388888888888889}",0.75,104,54,15,15,13,17,8,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,2
12,342,"[RandomPlayer:WHITE, Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE]",1.0,0,2,0,2,7,False,False,0,"{'WOOD': 0, 'BRICK': 0.1388888888888889, 'SHEEP': 0, 'WHEAT': 0.05555555555555555, 'ORE': 0}",0.19444444444444445,58,12,16,16,9,12,4,"{'KNIGHT': 1, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,2
13,676,"[RandomPlayer:WHITE, RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED]",1.0,0,10,2,2,15,True,False,2,"{'WOOD': 0.36111111111111116, 'BRICK': 0.027777777777777776, 'SHEEP': 0.16666666666666666, 'WHEAT': 0, 'ORE': 1.0277777777777777}",1.5833333333333333,353,57,33,35,20,106,71,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 2, 'YEAR_OF_PLENTY': 1}",5,7
14,279,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,6,1,1,5,False,True,1,"{'WOOD': 0, 'BRICK': 0.027777777777777776, 'SHEEP': 0.05555555555555555, 'WHEAT': 0.2777777777777778, 'ORE': 0}",0.3611111111111111,85,38,15,22,14,10,4,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 7, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",8,9
15,394,"[RandomPlayer:ORANGE, RandomPlayer:RED, RandomPlayer:WHITE, Player:BLUE]",1.0,0,8,1,4,15,False,True,0,"{'WOOD': 0.2222222222222222, 'BRICK': 0.08333333333333333, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.5, 'ORE': 0.1111111111111111}",1.0555555555555556,166,61,18,23,14,23,12,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 5, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",5,6
16,262,"[Player:BLUE, RandomPlayer:RED, RandomPlayer:ORANGE, RandomPlayer:WHITE]",1.0,0,10,1,4,15,False,True,2,"{'WOOD': 0.19444444444444445, 'BRICK': 0.16666666666666666, 'SHEEP': 0.22222222222222224, 'WHEAT': 0.2222222222222222, 'ORE': 0.1388888888888889}",0.9444444444444444,154,69,13,19,18,33,13,"{'KNIGHT': 0, 'VP': 2, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",2,"{'KNIGHT': 6, 'MONOPOLY': 1, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",8,10
17,516,"[Player:BLUE, RandomPlayer:ORANGE, RandomPlayer:WHITE, RandomPlayer:RED]",1.0,0,7,1,3,14,True,False,0,"{'WOOD': 0, 'BRICK': 0.4166666666666667, 'SHEEP': 0, 'WHEAT': 0.22222222222222227, 'ORE': 0.1111111111111111}",0.75,109,46,24,27,19,7,0,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",3,3
18,548,"[RandomPlayer:ORANGE, RandomPlayer:RED, Player:BLUE, RandomPlayer:WHITE]",1.0,0,10,1,4,15,True,True,0,"{'WOOD': 0.4166666666666667, 'BRICK': 0.25, 'SHEEP': 0.1388888888888889, 'WHEAT': 0.1388888888888889, 'ORE': 0.2777777777777778}",1.2222222222222223,211,64,32,38,22,48,32,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 6, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",7,7
19,271,"[Player:BLUE, RandomPlayer:WHITE, RandomPlayer:ORANGE, RandomPlayer:RED]",1.0,0,3,0,2,15,False,False,1,"{'WOOD': 0.1111111111111111, 'BRICK': 0.1388888888888889, 'SHEEP': 0, 'WHEAT': 0.16666666666666669, 'ORE': 0.05555555555555555}",0.4722222222222222,83,29,10,10,9,29,16,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,1
20,135,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,10,1,3,15,True,True,1,"{'WOOD': 0.16666666666666666, 'BRICK': 0.5277777777777778, 'SHEEP': 0.2777777777777778, 'WHEAT': 0.4444444444444444, 'ORE': 0}",1.4166666666666665,127,50,2,5,2,20,18,"{'KNIGHT': 0, 'VP': 1, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",1,"{'KNIGHT': 3, 'MONOPOLY': 0, 'ROAD_BUILDING': 1, 'YEAR_OF_PLENTY': 0}",4,5
21,272,"[RandomPlayer:ORANGE, Player:BLUE, RandomPlayer:RED, RandomPlayer:WHITE]",1.0,0,2,0,2,9,False,False,0,"{'WOOD': 0, 'BRICK': 0.05555555555555555, 'SHEEP': 0, 'WHEAT': 0.2777777777777778, 'ORE': 0}",0.33333333333333337,96,26,7,9,6,16,4,"{'KNIGHT': 0, 'VP': 0, 'MONOPOLY': 0, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 0}",0,"{'KNIGHT': 2, 'MONOPOLY': 1, 'ROAD_BUILDING': 0, 'YEAR_OF_PLENTY': 1}",4,4
